code,contestId,name,partyId,ballotNo,status
KMT-HSQ-COUNCIL-5-00A12196,HSQ-COUNCIL-5,徐瑜新,KMT,,REGISTERED
KMT-HSQ-COUNCIL-6-7FD071A7,HSQ-COUNCIL-6,黃路加,KMT,,REGISTERED
KMT-HSQ-COUNCIL-7-FA55270D,HSQ-COUNCIL-7,張良印,KMT,,REGISTERED
KMT-HSQ-COUNCIL-8-60C83BB0,HSQ-COUNCIL-8,黃正彪,KMT,,REGISTERED
KMT-HSQ-COUNCIL-9-376F4B0A,HSQ-COUNCIL-9,上官秋燕,KMT,,REGISTERED
KMT-HSQ-COUNCIL-9-4DABE2BA,HSQ-COUNCIL-9,黃豪杰,KMT,,REGISTERED
KMT-HSQ-COUNCIL-9-7215621E,HSQ-COUNCIL-9,彭余美玲,KMT,,REGISTERED
KMT-HSQ-COUNCIL-9-A1577336,HSQ-COUNCIL-9,羅俊傑,KMT,,REGISTERED
KMT-HSQ-COUNCIL-10-33338F0F,HSQ-COUNCIL-10,邱坤桶,KMT,,REGISTERED
KMT-HSQ-COUNCIL-11-6F74BAF2,HSQ-COUNCIL-11,王辰翔,KMT,,REGISTERED
KMT-HSQ-COUNCIL-12-70C1861D,HSQ-COUNCIL-12,確定提名,KMT,,REGISTERED
KMT-HSQ-COUNCIL-13-83BE7C81,HSQ-COUNCIL-13,曾國大,KMT,,REGISTERED
KMT-CHA-COUNCIL-1-902DA3E7,CHA-COUNCIL-1,許原龍,KMT,,REGISTERED
KMT-CHA-COUNCIL-1-0258842E,CHA-COUNCIL-1,白玉如,KMT,,REGISTERED
KMT-CHA-COUNCIL-1-0FB0A758,CHA-COUNCIL-1,黃千宴,KMT,,REGISTERED
KMT-CHA-COUNCIL-1-07265ED8,CHA-COUNCIL-1,温芝樺,KMT,,REGISTERED
KMT-CHA-COUNCIL-1-CA098ECB,CHA-COUNCIL-1,顧勝敏,KMT,,REGISTERED
KMT-CHA-COUNCIL-2-CAD083D1,CHA-COUNCIL-2,徐淑媚,KMT,,REGISTERED
KMT-CHA-COUNCIL-2-33542EA4,CHA-COUNCIL-2,楊竣程,KMT,,REGISTERED
KMT-CHA-COUNCIL-2-469D052F,CHA-COUNCIL-2,許志宏,KMT,,REGISTERED
KMT-CHA-COUNCIL-2-AF6FEA63,CHA-COUNCIL-2,王信筌,KMT,,REGISTERED
KMT-CHA-COUNCIL-3-8A5E17D7,CHA-COUNCIL-3,柯振杯,KMT,,REGISTERED
KMT-CHA-COUNCIL-3-F8C9B3C5,CHA-COUNCIL-3,林小琪,KMT,,REGISTERED
KMT-CHA-COUNCIL-3-D6D229A7,CHA-COUNCIL-3,鍾雅茹,KMT,,REGISTERED
KMT-CHA-COUNCIL-4-840CBAA7,CHA-COUNCIL-4,黃正盛,KMT,,REGISTERED
KMT-CHA-COUNCIL-4-6BB176FC,CHA-COUNCIL-4,曹嘉豪,KMT,,REGISTERED
KMT-CHA-COUNCIL-4-93A8A722,CHA-COUNCIL-4,游筑凱,KMT,,REGISTERED
KMT-CHA-COUNCIL-4-796E76B9,CHA-COUNCIL-4,張詠勝,KMT,,REGISTERED
KMT-CHA-COUNCIL-4-753D45A9,CHA-COUNCIL-4,張愉婕,KMT,,REGISTERED
KMT-CHA-COUNCIL-5-BBFBEBBB,CHA-COUNCIL-5,陳玉姬,KMT,,REGISTERED
KMT-CHA-COUNCIL-5-3F90C2E2,CHA-COUNCIL-5,黃佳惠,KMT,,REGISTERED
KMT-CHA-COUNCIL-6-DAD9309F,CHA-COUNCIL-6,鄭俊雄,KMT,,REGISTERED
KMT-CHA-COUNCIL-6-CF01B8BB,CHA-COUNCIL-6,蕭妤亘,KMT,,REGISTERED
KMT-CHA-COUNCIL-6-C69FB1F5,CHA-COUNCIL-6,蕭岳倫,KMT,,REGISTERED
KMT-CHA-COUNCIL-6-2F530F4B,CHA-COUNCIL-6,彭世和,KMT,,REGISTERED
KMT-CHA-COUNCIL-7-4C716D78,CHA-COUNCIL-7,劉淑芳,KMT,,REGISTERED
KMT-CHA-COUNCIL-7-E45D833C,CHA-COUNCIL-7,謝典霖,KMT,,REGISTERED
KMT-CHA-COUNCIL-7-A72FC033,CHA-COUNCIL-7,李浩誠,KMT,,REGISTERED
KMT-CHA-COUNCIL-8-465BD93B,CHA-COUNCIL-8,張國棟,KMT,,REGISTERED
KMT-CHA-COUNCIL-8-CEA085F1,CHA-COUNCIL-8,曾温泉,KMT,,REGISTERED
KMT-CHA-COUNCIL-9-717CF11C,CHA-COUNCIL-9,陳榮妹,KMT,,REGISTERED
KMT-CHA-COUNCIL-10-1DEE52F0,CHA-COUNCIL-10,張瑋婷,KMT,,REGISTERED
KMT-CHA-COUNCIL-10-0E36A0E3,CHA-COUNCIL-10,金凱傑,KMT,,REGISTERED
KMT-CHA-COUNCIL-10-4C6D2E85,CHA-COUNCIL-10,吳秋祿,KMT,,REGISTERED
KMT-NAN-COUNCIL-1-261ED3F7,NAN-COUNCIL-1,宋懷琳,KMT,,REGISTERED
KMT-NAN-COUNCIL-1-8FE108F9,NAN-COUNCIL-1,林憶如,KMT,,REGISTERED
KMT-NAN-COUNCIL-1-3FC47455,NAN-COUNCIL-1,林儒暘,KMT,,REGISTERED
KMT-NAN-COUNCIL-2-534A72B5,NAN-COUNCIL-2,李洲忠,KMT,,REGISTERED
KMT-NAN-COUNCIL-2-700B72E6,NAN-COUNCIL-2,林昆熠,KMT,,REGISTERED
KMT-NAN-COUNCIL-3-F06C4972,NAN-COUNCIL-3,陳淑惠,KMT,,REGISTERED
KMT-NAN-COUNCIL-3-539F138D,NAN-COUNCIL-3,謝明媒,KMT,,REGISTERED
KMT-NAN-COUNCIL-3-8205ECD2,NAN-COUNCIL-3,黃春麟,KMT,,REGISTERED
KMT-NAN-COUNCIL-5-5171D74D,NAN-COUNCIL-5,林芳伃,KMT,,REGISTERED
KMT-NAN-COUNCIL-5-92BBF0A9,NAN-COUNCIL-5,羅俞欣,KMT,,REGISTERED
KMT-NAN-COUNCIL-7-CCD77DDE,NAN-COUNCIL-7,全文才,KMT,,REGISTERED
KMT-NAN-COUNCIL-8-628688BB,NAN-COUNCIL-8,林庭秝,KMT,,REGISTERED
KMT-YUN-COUNCIL-1-0FACD46A,YUN-COUNCIL-1,黃勝志,KMT,,REGISTERED
KMT-YUN-COUNCIL-1-31ECFF94,YUN-COUNCIL-1,陳永修,KMT,,REGISTERED
KMT-YUN-COUNCIL-1-5F902314,YUN-COUNCIL-1,陳芳盈,KMT,,REGISTERED
KMT-YUN-COUNCIL-2-FAF9E061,YUN-COUNCIL-2,王秋足,KMT,,REGISTERED
KMT-YUN-COUNCIL-4-51E7C2C1,YUN-COUNCIL-4,李明哲,KMT,,REGISTERED
KMT-YUN-COUNCIL-4-4CA944A8,YUN-COUNCIL-4,廖偉晴,KMT,,REGISTERED
KMT-YUN-COUNCIL-4-B2FF372D,YUN-COUNCIL-4,鍾任明,KMT,,REGISTERED
