code,contestId,name,partyId,ballotNo,status
NPP-MIA-COUNCIL-4-025B8BD6,MIA-COUNCIL-4,吳翌立,NPP,,REGISTERED
NPP-TXG-COUNCIL-13-C90EBA1A,TXG-COUNCIL-13,鄒明諺,NPP,,REGISTERED
OBA-TXG-COUNCIL-8-8943DDD6,TXG-COUNCIL-8,蔡佩珊,OBA,,REGISTERED
NPP-YUN-COUNCIL-1-D7A99672,YUN-COUNCIL-1,廖昶淳,NPP,,CONFIRMED
OBA-CYI-COUNCIL-1-E6B1635A,CYI-COUNCIL-1,陳玥妗,OBA,,REGISTERED
OBA-CYI-COUNCIL-2-F6379DBE,CYI-COUNCIL-2,林詩涵,OBA,,REGISTERED
NPP-ILA-COUNCIL-1-DE2A6B67,ILA-COUNCIL-1,劉仲書,NPP,,CONFIRMED
IND-KHH-COUNCIL-4-E120FA61,KHH-COUNCIL-4,薛兆基,IND,,REGISTERED
OBA-KHH-COUNCIL-10-28DA62C6,KHH-COUNCIL-10,于仙玲,OBA,,REGISTERED
