contest_id,jurisdiction,party,name_zh,name_en,file,licence,attribution,source_url,status
town-10007080-REPRESENTATIVE,彰化縣,TPP,陳冠豪,,TPP-town-10007080-REPRESENTATIVE-37B8E452.webp,政黨／候選人提供,台灣民眾黨提供,https://tainan.olc.tw/p/2026/data/photos/tpp_233.png,已裁切為 avatar
town-10007100-REPRESENTATIVE,彰化縣,TPP,張嘉龍,,TPP-town-10007100-REPRESENTATIVE-720C28B5.webp,政黨／候選人提供,台灣民眾黨提供,https://tainan.olc.tw/p/2026/data/photos/tpp_221.png,已裁切為 avatar
town-10007100-REPRESENTATIVE,彰化縣,TPP,邱郁文,,TPP-town-10007100-REPRESENTATIVE-CECA871F.webp,政黨／候選人提供,台灣民眾黨提供,https://tainan.olc.tw/p/2026/data/photos/tpp_219.png,已裁切為 avatar
town-10007100-REPRESENTATIVE,彰化縣,TPP,張仕穎,,TPP-town-10007100-REPRESENTATIVE-3CEF5D87.webp,政黨／候選人提供,台灣民眾黨提供,https://tainan.olc.tw/p/2026/data/photos/tpp_220.png,已裁切為 avatar
town-10007140-REPRESENTATIVE,彰化縣,TPP,梁智宣,,TPP-town-10007140-REPRESENTATIVE-F462B04B.webp,政黨／候選人提供,台灣民眾黨提供,https://tainan.olc.tw/p/2026/data/photos/photo_6a0c6807190a5.jpg,已裁切為 avatar
town-10007150-REPRESENTATIVE,彰化縣,TPP,徐尚裕,,TPP-town-10007150-REPRESENTATIVE-269E7F4C.webp,政黨／候選人提供,台灣民眾黨提供,https://tainan.olc.tw/p/2026/data/photos/tpp_234.png,已裁切為 avatar
town-10007160-REPRESENTATIVE,彰化縣,TPP,張惟荏,,TPP-town-10007160-REPRESENTATIVE-DA71876E.webp,政黨／候選人提供,台灣民眾黨提供,https://tainan.olc.tw/p/2026/data/photos/tpp_232.png,已裁切為 avatar
town-10007220-REPRESENTATIVE,彰化縣,TPP,許泰祥,,TPP-town-10007220-REPRESENTATIVE-AAC361F6.webp,政黨／候選人提供,台灣民眾黨提供,https://tainan.olc.tw/p/2026/data/photos/tpp_235.png,已裁切為 avatar
town-10008130-TOWNSHIP,南投縣,TPP,林瑞祥,,TPP-town-10008130-TOWNSHIP-4BD9A39D.webp,政黨／候選人提供,台灣民眾黨提供,https://tainan.olc.tw/p/2026/data/photos/photo_6a0c6f7a7e1ee.jpg,已裁切為 avatar
town-10013010-REPRESENTATIVE,屏東縣,GPT,游子昂,,GPT-town-10013010-REPRESENTATIVE-01C06619.webp,政黨／候選人提供,台灣前進陣線,https://taiwangogo.tw/assets/faces/hero/yu-tzu-ang.webp,已裁切為 avatar
town-10013010-REPRESENTATIVE,屏東縣,TPP,郭泰安,,TPP-town-10013010-REPRESENTATIVE-37FD8A59.webp,政黨／候選人提供,台灣民眾黨提供,https://tainan.olc.tw/p/2026/data/photos/tpp_217.png,已裁切為 avatar
town-10013020-REPRESENTATIVE,屏東縣,TPP,林耀宗,,TPP-town-10013020-REPRESENTATIVE-0E6BFA0F.webp,政黨／候選人提供,台灣民眾黨提供,https://tainan.olc.tw/p/2026/data/photos/tpp_236.png,已裁切為 avatar
